date,real_gdp,agriculture,mining,manufacturing,construction,trade,electricity_gas_water,transport_communications,financial_intermediation,public_administration
2014-01-01,671066.0466350627,34577.980474705844,22356.03400640624,116202.17665917832,22386.9704111195,88486.00499848135,11829.626674882322,51836.00906083405,27549.55784287249,30652.18001038917
2014-04-01,760576.8683480041,98120.79179650186,22767.47509843917,126338.83495226435,22011.102723016636,92097.08185440782,11910.364420872818,56763.3079818579,26720.1785031392,30830.82094018797
2014-07-01,690879.7982516834,32108.529801158274,22905.35521928779,126678.10097326666,22046.805709776247,93038.39775946576,12015.999414131387,54176.41062068173,26714.474589630463,31204.708736193305
2014-10-01,686701.4706187105,31532.74344684308,22991.34352278002,128014.95758008576,21135.36912701761,92797.12334537588,12039.116409437278,53896.24833424766,26369.973600889287,31530.33976755713
2015-01-01,672749.8113916992,36007.89071605031,22766.04510495615,113313.48189470044,22177.876504632983,89156.90293887624,12698.639625846326,53160.32624403298,26411.854957044798,31690.39683292908
2015-04-01,791235.9655416702,110971.39774864804,23428.52749521022,128678.42274672267,22905.616398079856,96388.57707116424,12210.28540062213,58020.4433836028,26840.217031906323,31935.0964523378
2015-07-01,718281.2654497817,32470.78044064063,23467.128670556245,130450.0997149625,23443.21665140228,98179.77020900254,12688.675589541115,56745.090325524536,27506.292367433834,32451.130330184755
2015-10-01,703681.544169008,32137.05218528608,22858.197781933224,128600.54227405752,21687.914848925488,95673.54921850376,12312.02673455058,55317.93350679173,27959.71687028136,32803.75378539254
2016-01-01,677652.0891157027,35389.889369673656,21932.478879388727,109845.38411631071,20929.326913005007,88618.11082017035,12800.68229905877,56318.48413424176,26611.53054543214,32833.32662214608
2016-04-01,760703.2801516564,100988.65369607323,22001.6085146069,118643.43948710212,19317.511008767087,92557.39954773417,12698.490758582848,59160.68174896814,25738.199335508267,32977.08900294815
2016-07-01,694382.4757762305,32062.827410594982,22135.70415950637,121051.71832260957,20383.916385408214,92733.80723472286,12771.343901483626,57794.20127199226,26066.1733522881,33041.90413677525
2016-10-01,693173.5493470578,32754.962518731165,21380.83356195607,123437.91176934305,19484.68631815725,93147.15923626564,12133.246349384975,57561.71629739638,26862.39130681053,33136.13295641326
2017-01-01,681444.7661102224,37132.71907953547,20796.418004714214,107280.15939021796,21354.329319821227,88069.84227879341,12832.39953813312,57709.27763568281,27397.995727479843,33109.13093938957
2017-04-01,778401.6764493167,103049.7090578753,20556.257783803983,121930.70327848924,21207.92392997056,95477.05982492678,12409.935855641106,61030.15568887639,26722.600266236383,33250.608706464685
2017-07-01,721120.4268527941,32539.533291335123,21348.51164636415,126997.37754313584,22705.64047500281,96555.06113323658,12583.058319637445,59061.02689917094,27765.938442656712,33206.458501532856
2017-10-01,724592.9216389629,34434.97943285414,21656.438563073592,128945.01221232892,22185.64702421232,99045.67937979054,12069.854392472744,58231.03968313866,28670.690414130124,33430.86137412845
2018-01-01,707324.2680572141,37535.57235555392,21041.505981365983,111168.96881717656,23189.19744217588,93928.53567338022,12881.95732048244,57936.483142333775,28933.9848955413,33381.93054178412
2018-04-01,747428.2999545746,70023.82279592674,21497.8320455702,119605.8753745593,22334.12374893001,94737.15150655372,12668.703374767456,58479.526849909074,29069.85651101145,33247.031233369715
2018-07-01,696101.5835218076,32038.110825922136,21328.785991462504,117542.4470860486,22614.00223131591,88878.15975122093,12691.36136621211,56662.78019212962,29257.296414379987,33142.19056447624
2018-10-01,678655.6203844536,35307.65147184202,21204.36091258921,113524.72293197492,20296.61453586746,86401.77827229863,11714.828934557898,55476.48139286735,27411.00266487539,33327.744345007726
2019-01-01,665848.7152997089,40558.71400603727,20900.37612225141,99095.1995021124,21793.48274242249,81877.47999066635,12147.627373649711,55338.50978913227,26252.76206340076,33271.50055915854
2019-04-01,751784.4607771325,103764.7991665448,21769.94355409477,110734.33185742806,21308.840505517128,85900.40128990018,11763.10937869417,59151.87104742485,25105.645170159845,33481.153555884244
2019-07-01,683900.8985525784,35952.11033051322,21996.590976814638,112260.14446984406,22131.45350473316,84020.11587016145,12371.850003223652,56942.80535489563,24968.43032595977,33562.44562420989
2019-10-01,671361.13972242,35519.12347466694,21617.961921973427,111318.80175636694,19461.76028259642,84281.07447222082,12145.16731714435,55515.6571106499,24997.760069236312,33914.98940887059
2020-01-01,632389.35353461,38095.45670064713,21059.7534294915,92780.92898384453,17531.390880378785,77231.2906124458,12718.372593103591,52067.483928747526,24487.69399120664,33561.57496220624
2020-04-01,609379.9894648013,92057.2672717224,17824.024425121846,87129.59502355108,10644.422460916698,71662.36752249839,11488.267771794375,46188.04476957806,24527.530212307945,29414.43797434526
2020-07-01,614192.4784042229,34777.1560046612,19191.489568264325,106644.71506900266,17339.87613260726,82536.86156000533,12687.948638127064,44954.096959141614,25382.3467826644,30339.430333601485
2020-10-01,642403.3231979503,35545.17694155328,19215.19628185284,113496.16028179224,20224.55119908988,86933.23185901038,12232.55044584762,45235.46335195799,26026.75519511983,30991.6415239938
2021-01-01,652831.9767063216,39981.08307177501,19415.73077648867,103881.92820228124,21857.444963444865,85310.9186462475,12312.06147154852,47593.05629831279,25367.862601251647,31881.291072511656
2021-04-01,723516.6224906748,89025.81417150257,21075.269960416445,115891.5285986868,19795.33928620339,91266.58582170898,12742.415217114478,51615.62533350263,24684.06406426773,31792.3868786872
2021-07-01,686756.4678266742,35008.00016998698,21834.617548342376,120122.34570939987,21959.164958215148,91710.52359890113,13393.073822001945,50624.86698275493,24996.47700422659,32688.611304021564
2021-10-01,696134.669112115,38809.17144543634,22269.179294473084,123243.24917545205,21229.084430147992,93152.97149717012,12287.14717835436,51827.3497166505,25937.34689904489,34647.95695336769
2022-01-01,697625.2846663581,43315.64828588414,22161.19736641244,108521.20482350283,22529.48493819819,89364.8260971975,12952.187860587685,52451.29587388125,25768.00562870883,34857.81222750027
2022-04-01,782338.628533735,86796.89531687139,24015.47836222491,124292.30950808551,22196.48037873556,99903.45143497984,13379.947418914142,57198.92155015872,25261.986988646357,34835.43411715864
2022-07-01,732662.1638755013,33572.217954659194,24333.139776539705,127476.03677924316,23500.589611777155,98829.0940112216,12882.04165153236,54465.91961187771,25045.461390503177,34962.249824859035
2022-10-01,712740.4578287383,30236.881961285,24496.730930371377,124744.747636993,21647.99622952123,95030.1634836536,12880.231387892592,53522.09151670704,25002.772708401124,35088.04911743603
2023-01-01,704009.0351770016,35697.3739786564,24572.61122358644,111764.2590435387,23300.278593249204,92666.19217926193,13793.072716181894,52871.2383703,25047.210485976564,35480.577420018446
2023-04-01,738128.411227304,47876.87667351866,25822.43252647165,122337.03952144628,22341.029601966053,101437.20427320668,12510.679987739411,55287.27989064448,24261.019453840498,35549.18825123834
2023-07-01,728542.2558474866,31125.672645718518,26190.92485718722,123800.8140247434,23621.46837329665,98417.59268533222,13203.378131237148,54477.14477548299,24835.575660555194,35803.21692622535
2023-10-01,700543.19869756,31933.9231563358,26352.55944597661,117203.54408419933,21428.84295134309,91221.6299794321,12226.432535526044,53307.877267326905,24158.385291311624,36018.46917575544
2024-01-01,668219.6308270538,38788.86659169634,26603.85684490966,96313.45879765104,18628.221840183905,83815.77045695356,13494.309567101987,52739.10907870981,21822.4297826445,35565.36456585619
2024-04-01,729909.3687198232,86010.3227299814,27536.27409219725,101697.68119792154,17160.104449560786,85584.7273917653,12895.858334058516,56181.3885675843,21957.64008233707,35148.631329219155
2024-07-01,714299.2179562403,35207.32912976052,28007.05743536584,116271.99447074422,20074.877801862127,92679.6155775249,13281.606379197634,54352.53040353585,24376.420632124195,35159.300189965375
2024-10-01,719523.3207309349,33828.24950524624,28456.105052056184,118679.66958256574,18792.37059823302,93949.90631361352,12116.062144131614,54349.72066522665,26068.548753637227,35123.060877260825
2025-01-01,709095.1246966242,41082.50528442301,28358.93751123245,101287.48764376156,19720.300953327853,90286.68130102332,13604.658346055448,54089.02530805973,27957.183328384697,35065.81473230091
2025-04-01,777482.5556069001,90828.539796208,29407.40967912032,109150.49703358056,18953.52165327672,95182.99084249674,12717.782558293848,57074.98961808018,27934.21939492864,34781.492954966016
2025-07-01,737135.0676777094,35561.472994598334,30888.83442101436,113743.73422833094,20245.11407137566,92209.2505835113,13146.039392538005,55513.92687671875,31314.302748996182,34764.96389705591
2025-10-01,735202.1055080015,40157.73122479965,30847.86266085171,112646.0448919748,18848.7633605734,91703.15291603176,12672.441457444877,55498.29237558708,30592.09824771081,34661.42948472065
2026-01-01,725600.2445682534,48534.43565987708,31856.783028615864,99589.44939316675,20220.62108023296,90022.07581784874,13461.683650576106,55325.39777420198,30055.31492037667,34583.3304438533
